population(1901),population(1951),population(2011),population(2023),population(2024),Male(literacy rate),Female (literacy rate)Average (literacy rate),average (literacy rate),Area (sq. km),GDP,per capita in,sex ratio (number of female per male),Hindu,Muslim,Christian,Sikhs,Buddhist,Others,States/Uts,Majority,Date,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-26,1,0,0,11.7401,92.6586,0,1
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-27,1,0,0,11.7401,92.6586,0,1
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-28,6,0,0,11.7401,92.6586,0,6
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-29,9,0,0,11.7401,92.6586,0,9
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-30,0,0,0,11.7401,92.6586,0,9
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-03-31,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-01,0,0,1,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-02,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-03,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-04,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-05,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-06,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-07,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-08,0,0,0,11.7401,92.6586,0,10
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-09,0,0,0,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-10,0,0,0,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-11,0,0,0,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-12,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-13,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-13,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-15,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-16,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-17,0,0,10,11.7401,92.6586,0,11
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-18,0,0,11,11.7401,92.6586,0,12
24649.0,30971.0,380581.0,403000.0,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,Andaman and Nicobar Islands,Hindu,2020-04-19,0,0,11,11.7401,92.6586,0,14
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-12,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-13,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-14,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-15,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-16,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-17,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-18,1,0,0,15.9129,79.74,0,1
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-19,2,0,0,15.9129,79.74,0,2
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-20,2,0,0,15.9129,79.74,0,2
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-21,3,0,0,15.9129,79.74,0,3
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-22,5,0,0,15.9129,79.74,0,5
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-23,7,0,0,15.9129,79.74,0,7
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-24,8,0,0,15.9129,79.74,0,8
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-25,9,0,1,15.9129,79.74,0,9
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-26,11,0,1,15.9129,79.74,0,11
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-27,12,0,1,15.9129,79.74,0,12
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-28,14,0,1,15.9129,79.74,0,14
13071874.0,20216637.0,49386799.0,53217000.0,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,Andhra Pradesh,Hindu,2020-03-29,14,0,1,15.9129,79.74,0,14
