state,dates,cum_positive_cases,daily_tests,cum_tests,test_per_million,daily_tests_per_million,population,Male literacy rate %,Female literacy rate %,Average literacy rate %,area,GDP,per capita in,Female to Male ratio,Hindu,Muslim,Christian,Sikhs,Buddhist,Others,density,primary_health_centers,community_health_centers,sub_district_hospitals,district_hospitals,public_health_facilities,public_beds,rural_hospitals,rural_beds,urban_hospitals,urban_beds,Collection Site,Government Laboratory,Private Laboratory,target
Andaman and Nicobar Islands,30/01/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,31/01/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,01/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,02/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,03/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,04/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,05/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,06/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,07/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,08/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,09/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,10/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,11/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,12/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,13/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,14/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,15/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
Andaman and Nicobar Islands,16/02/2020,0,0,0,0,0,404000,90.11,81.84,86.27,8249,0.89,229000,1045,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341,27,4,1.6,3,34,1246,27,575,3,500,0,1,0,0
